event_id,stablecoin,issuer,event_date,publication_date,report_date,event_type,rule_version,rule_status,scheduled_flag,ad_hoc_flag,stress_regime_disclosure,market_stress_on_event_date,market_stress_types_on_event_date,pilot_rqi,pilot_dii,has_rqi,has_dii,manual_review_required,asset_extraction_confidence,publication_lag_days,previous_event_gap_days,next_event_gap_days,overlap_risk_7d_window,overlap_risk_14d_window,classification_status,provisional_reason,notes
USDC_ASSURANCE_2022_01,USDC,Circle,2022-02-25,2022-02-25,2022-01-31,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,,0.6275,0,1,1,low,25,,34,0,0,rules_frozen_source_review_required,event_classification_and_source_expansion_pending,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_02,USDC,Circle,2022-03-31,2022-03-31,2022-02-28,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,,0.5675,0,1,1,low,31,34,29,0,0,rules_frozen_source_review_required,event_classification_and_source_expansion_pending,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_03,USDC,Circle,2022-04-29,2022-04-29,2022-03-31,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,,0.6275,0,1,1,low,29,29,24,0,1,rules_frozen_source_review_required,event_classification_and_source_expansion_pending,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_04,USDC,Circle,2022-05-23,2022-05-23,2022-04-30,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,,0.6275,0,1,1,low,23,24,66,0,1,rules_frozen_source_review_required,event_classification_and_source_expansion_pending,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_06,USDC,Circle,2022-07-28,2022-07-28,2022-06-30,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,,0.6275,0,1,1,low,28,66,27,0,1,rules_frozen_source_review_required,event_classification_and_source_expansion_pending,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_07,USDC,Circle,2022-08-24,2022-08-24,2022-07-31,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,0.9164,0.84,1,1,0,medium,24,27,30,0,1,rules_frozen_high_confidence,pilot_single_issuer_event_set,
USDC_ASSURANCE_2022_08,USDC,Circle,2022-09-23,2022-09-23,2022-08-31,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,0.9245,0.84,1,1,0,medium,23,30,32,0,0,rules_frozen_high_confidence,pilot_single_issuer_event_set,
USDC_ASSURANCE_2022_09,USDC,Circle,2022-10-25,2022-10-25,2022-09-30,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,0.9209,0.84,1,1,0,medium,25,32,28,0,1,rules_frozen_high_confidence,pilot_single_issuer_event_set,
USDC_ASSURANCE_2022_10,USDC,Circle,2022-11-22,2022-11-22,2022-10-31,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,0.9225,0.84,1,1,0,medium,22,28,30,0,1,rules_frozen_high_confidence,pilot_single_issuer_event_set,
USDC_ASSURANCE_2022_11,USDC,Circle,2022-12-22,2022-12-22,2022-11-30,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,0,normal,0,normal,0.9103,0.84,1,1,0,medium,22,30,34,0,0,rules_frozen_high_confidence,pilot_single_issuer_event_set,
