record_id,stablecoin,issuer,year,month,document_family,document_type,source_url,local_file_path,archive_status,report_date_extraction_status,publication_date_extraction_status,coding_priority,manual_review_required,notes
HRR001,USDC,Circle,2022,January,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20January.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_January.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR002,USDC,Circle,2022,February,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20February.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_February.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR003,USDC,Circle,2022,March,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20March.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_March.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR004,USDC,Circle,2022,April,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20April.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_April.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR005,USDC,Circle,2022,May,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20May.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_May.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR006,USDC,Circle,2022,June,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20June.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_June.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR007,USDC,Circle,2022,July,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20July.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_July.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; later 2022 reports include more reserve-detail pages.
HRR008,USDC,Circle,2022,August,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20August.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_August.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; later 2022 reports include more reserve-detail pages.
HRR009,USDC,Circle,2022,September,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20September.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_September.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; later 2022 reports include more reserve-detail pages.
HRR010,USDC,Circle,2022,October,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20October.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_October.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; later 2022 reports include more reserve-detail pages.
