event_id,linked_event_group,record_type,stablecoin,issuer,event_family,document_family,document_type,event_type,report_period,report_date,publication_date,event_date,event_date_basis,coverage_start,coverage_end,scheduled_flag,ad_hoc_flag,stress_regime,source_url,source_file_path,source_origin,source_status,attestor_or_provider,assurance_basis,rqi_available,dii_available,pilot_rqi,pilot_dii,inclusion_status,event_study_ready,coding_confidence,manual_review_required,priority,rule_version,rule_status,notes
BUSD_PAXOS_WINDDOWN_ANNOUNCEMENT_2023_02_13,BUSD_WINDDOWN_2023_02_13,event,BUSD,Paxos,ad_hoc_issuer_event,issuer_news_release,wind_down_announcement,halt_new_bUSD_issuance,BUSD wind-down,,2023-02-13,2023-02-13,publication_date,,,0,1,regulatory_issuer_stress,https://www.paxos.com/newsroom/paxos-will-halt-minting-new-busd-tokens,01_raw_sources/issuer_disclosures/PAXOS_USDP_PYUSD_BUSD/BUSD_PAXOS_WINDDOWN_ANNOUNCEMENT_2023_02_13__1__official_web_page.html,curated_primary_source_web,source_verified_for_descriptive_use,Paxos,issuer announcement; not an assurance report,0,0,,,event_ready,1,high,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,"Issuer-side companion to NYDFS event; critical ad hoc event for scheduled-vs-ad-hoc design. P2-G2: local archive linked on 2026-05-22; human source/date spotcheck still required before final inclusion. Source URL updated from prior URL to current official URL. P2-G4: source verified for descriptive/appendix/background use after P2-G3 local-file, checksum, text/date/identity/substance prechecks and researcher-reviewed source closure on 2026-05-22; not an inferential or causal-identification upgrade."
BUSD_REGULATORY_ORDER_NYDFS_2023_02_13,BUSD_WINDDOWN_2023_02_13,event,BUSD,Paxos/Binance,ad_hoc_regulatory_event,regulatory_notice,NYDFS_consumer_alert,cease_minting_order_or_related_regulatory_action,BUSD wind-down,,2023-02-13,2023-02-13,publication_date,,,0,1,regulatory_issuer_stress,https://www.dfs.ny.gov/consumers/alerts/Paxos_and_Binance,01_raw_sources/issuer_disclosures/PAXOS_USDP_PYUSD_BUSD/BUSD_REGULATORY_ORDER_NYDFS_2023_02_13__1__official_web_page.html,curated_primary_source_web,source_verified_for_descriptive_use,NYDFS,regulatory action; not an assurance report,0,0,,,event_ready,1,high,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,"Primary regulatory event for BUSD wind-down; pair with Paxos issuer announcement. P2-G2: local archive linked on 2026-05-22; human source/date spotcheck still required before final inclusion. P2-G4: source verified for descriptive/appendix/background use after P2-G3 local-file, checksum, text/date/identity/substance prechecks and researcher-reviewed source closure on 2026-05-22; not an inferential or causal-identification upgrade."
BUSD_STABLECOIN_REPORTING_2023_APRIL,BUSD_STABLECOIN_REPORTING_2023_APRIL,event,BUSD,Paxos,candidate_scheduled_or_reporting_event,stablecoin_reporting,issuer_self_report,candidate_disclosure_publication,April 2023,,,,pending_publication_date,,,1,0,regulatory_issuer_stress,https://paxos.com/wp-content/uploads/2023/04/BUSD-Daily-Stablecoin-Reporting-as-of-4.24.2023.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,BUSD wind-down period; daily report as of 2023-04-24 found via search result.
BUSD_STABLECOIN_REPORTING_2023_MARCH,BUSD_STABLECOIN_REPORTING_2023_MARCH,event,BUSD,Paxos,candidate_scheduled_or_reporting_event,stablecoin_reporting,issuer_self_report,candidate_disclosure_publication,March 2023,,,,pending_publication_date,,,1,0,regulatory_issuer_stress,https://paxos.com/wp-content/uploads/2023/03/BUSD-Daily-Stablecoin-Reporting-as-of-3.9.2023.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,BUSD wind-down period; daily report as of 2023-03-09 found via search result.
PYUSD_MONTHLY_HOLDINGS_2024_FEBRUARY,PYUSD_MONTHLY_HOLDINGS_2024_FEBRUARY,event,PYUSD,Paxos,candidate_scheduled_or_reporting_event,monthly_holdings,issuer_self_report,candidate_disclosure_publication,February 2024,,,,pending_publication_date,,,1,0,normal,https://paxos.com/wp-content/uploads/2024/03/PYUSD-Monthly-Stablecoin-Reporting-February-2024-PYUSD-Disclosure.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P1,RQI_DII_v1.0,frozen_confirmed_by_researcher,Known Paxos PDF URL from search result references; direct shell download needs manual verification.
PYUSD_MONTHLY_HOLDINGS_2024_JANUARY,PYUSD_MONTHLY_HOLDINGS_2024_JANUARY,event,PYUSD,Paxos,candidate_scheduled_or_reporting_event,monthly_holdings,issuer_self_report,candidate_disclosure_publication,January 2024,,,,pending_publication_date,,,1,0,normal,https://paxos.com/wp-content/uploads/2024/02/PYUSD-Monthly-Stablecoin-Reporting-January-2024-PYUSD-Disclosure-1.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P1,RQI_DII_v1.0,frozen_confirmed_by_researcher,Known Paxos PDF URL from search result and third-party references; direct shell download needs manual verification.
PYUSD_MONTHLY_HOLDINGS_2024_MARCH,PYUSD_MONTHLY_HOLDINGS_2024_MARCH,event,PYUSD,Paxos,candidate_scheduled_or_reporting_event,monthly_holdings,issuer_self_report,candidate_disclosure_publication,March 2024,,,,pending_publication_date,,,1,0,normal,https://paxos.com/wp-content/uploads/2024/04/PYUSD-Monthly-Stablecoin-Reporting-March-2024-PYUSD-Disclosure.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P1,RQI_DII_v1.0,frozen_confirmed_by_researcher,Known Paxos PDF URL from search result references; direct shell download needs manual verification.
PYUSD_MONTHLY_HOLDINGS_2024_NOVEMBER,PYUSD_MONTHLY_HOLDINGS_2024_NOVEMBER,event,PYUSD,Paxos,candidate_scheduled_or_reporting_event,monthly_holdings,issuer_self_report,candidate_disclosure_publication,November 2024,,,,pending_publication_date,,,1,0,normal,https://paxos.com/wp-content/uploads/2024/12/PYUSD-Monthly-Stablecoin-Reporting-November-2024-PYUSD-Disclosure.pdf,,historical_report_register_v1,registered_not_downloaded,Paxos self-report,issuer self-report; attestation status pending source review,0,candidate,,,candidate_pending_publication_date,0,low,yes,P1,RQI_DII_v1.0,frozen_confirmed_by_researcher,Paxos PDF was visible in search result text; use as PYUSD extension sample after core USDC/USDP.
TUSD_DAILY_ATTESTATION_SERIES,TUSD_DAILY_ATTESTATION_SERIES,source_series,TUSD,TrueUSD,daily_attestation_series,transparency_page,daily_attestation_source,source_series_pending_sampling,ongoing,,,,pending_publication_date,,,1,0,normal,https://tusd.io/transparency,,curated_primary_source_web,official_landing_page_sampling_required,Moore Hong Kong,issuer describes daily independent third-party attestations,0,candidate,,,source_series_pending_sampling_rule,0,medium,yes,P1,RQI_DII_v1.0,frozen_confirmed_by_researcher,Daily frequency is analytically important but requires sampling or API-style extraction before event-study use.
USDC_ASSURANCE_2022_01,USDC_ASSURANCE_2022_01,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-January,2022-01-31,2022-02-25,2022-02-25,publication_date,2022-01-31,2022-01-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_January.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,1,,0.6275,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; rqi_missing
