event_id,stablecoin,issuer,document_family,rule_version,rule_status,rqi_weight_profile,report_year,report_month,report_dates,latest_report_date,publication_date,publication_lag_days,scheduled_flag,ad_hoc_flag,stress_regime_flag,attestor_or_provider,assurance_basis,total_reserve_assets_usd,treasury_securities_usd,treasury_repo_usd,reserve_fund_cash_usd,bank_cash_usd,cash_total_usd,treasury_share,repo_share,cash_total_share,bank_cash_share,pilot_rqi,disclosure_frequency_score,disclosure_granularity_score,disclosure_timeliness_score,assurance_score,pilot_dii,asset_extraction_confidence,date_extraction_status,manual_review_required,local_file_path,notes
USDC_ASSURANCE_2022_04,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,April,2022-04-30,2022-04-30,2022-05-23,23,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,0.70,1.00,0.6275,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_April.pdf,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_08,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,August,2022-08-31,2022-08-31,2022-09-23,23,1,0,normal,Grant Thornton LLP,AICPA attestation standards,52430816552,43502009230,,,8928807322,8928807322,0.829703,0.000000,0.170297,0.170297,0.9245,0.60,1.00,0.70,1.00,0.8400,medium,ok,0,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_August.pdf,
USDC_ASSURANCE_2022_12,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,December,2022-12-31,2022-12-31,2023-01-25,25,1,0,normal,Grant Thornton LLP,AICPA attestation standards,44693963701,34105524696,,,10526235601,10526235601,0.763090,0.000000,0.235518,0.235518,0.9136,0.60,1.00,0.70,1.00,0.8400,medium,ok,0,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_December.pdf,
USDC_ASSURANCE_2022_02,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,February,2022-02-28,2022-02-28,2022-03-31,31,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,0.40,1.00,0.5675,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_February.pdf,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_01,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,January,2022-01-31,2022-01-31,2022-02-25,25,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,0.70,1.00,0.6275,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_January.pdf,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_07,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,July,2022-07-31,2022-07-31,2022-08-24,24,1,0,normal,Grant Thornton LLP,AICPA attestation standards,54618693479,42373557970,,,12245135509,12245135509,0.775807,0.000000,0.224193,0.224193,0.9164,0.60,1.00,0.70,1.00,0.8400,medium,ok,0,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_July.pdf,
USDC_ASSURANCE_2022_06,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,June,2022-06-30,2022-06-30,2022-07-28,28,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,0.70,1.00,0.6275,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_June.pdf,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_03,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,March,2022-03-31,2022-03-31,2022-04-29,29,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,0.70,1.00,0.6275,low,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_March.pdf,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_05,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,May,,,,,1,0,normal,Grant Thornton LLP,AICPA attestation standards,,,,,,,,,,,,0.60,0.15,,1.00,,low,no_report_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_May.pdf,no_report_date; asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_11,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2022,November,2022-11-30,2022-11-30,2022-12-22,22,1,0,normal,Grant Thornton LLP,AICPA attestation standards,43404329767,32181421290,,,11159111371,11159111371,0.741433,0.000000,0.257097,0.257097,0.9103,0.60,1.00,0.70,1.00,0.8400,medium,ok,0,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_November.pdf,
