date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason
2022-01-01,USDT,Tether,tether,1,0.9985822068,-0.0014177932,0.0014177932,0,0,0,0,0,79326554299.00,79214085647.78,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-02,USDT,Tether,tether,1,1.0056235945,0.0056235945,0.0056235945,1,0,0,0,1,76813690205.00,77245659249.09,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-03,USDT,Tether,tether,1,1.000483441,0.000483441,0.000483441,0,0,0,0,0,76813714157.00,76850849057.37,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-04,USDT,Tether,tether,1,1.0009629642,0.0009629642,0.0009629642,0,0,0,0,0,76793618543.00,76867568051.28,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-05,USDT,Tether,tether,1,0.9986834481,-0.0013165519,0.0013165519,0,0,0,0,0,76795622600.00,76694517174.92,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-06,USDT,Tether,tether,1,1.0030243967,0.0030243967,0.0030243967,0,0,0,0,0,76564615359.00,76796177130.78,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-07,USDT,Tether,tether,1,1.0011714416,0.0011714416,0.0011714416,0,0,0,0,0,75725864182.00,75814572606.14,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-08,USDT,Tether,tether,1,1.0020948042,0.0020948042,0.0020948042,0,0,0,0,0,76145890063.00,76305400791.72,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-09,USDT,Tether,tether,1,0.9976930895,-0.0023069105,0.0023069105,0,0,0,0,0,76145914126.00,75970252316.06,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-10,USDT,Tether,tether,1,0.9994756682,-0.0005243318,0.0005243318,0,0,0,0,0,76145899767.00,76105974047.73,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-11,USDT,Tether,tether,1,1.0010964178,0.0010964178,0.0010964178,0,0,0,0,0,76148398058.00,76231888517.48,20,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-12,USDT,Tether,tether,1,1.0004184134,0.0004184134,0.0004184134,0,0,0,0,0,76260445012.00,76292353404.87,21,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-13,USDT,Tether,tether,1,1.0009724442,0.0009724442,0.0009724442,0,0,0,0,0,76263457368.00,76337619325.74,21,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-14,USDT,Tether,tether,1,0.9994785133,-0.0005214867,0.0005214867,0,0,0,0,0,76292131055.00,76252345721.07,21,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2022-01-15,USDT,Tether,tether,1,1.0008938666,0.0008938666,0.0008938666,0,0,0,0,0,76295500138.00,76363698133.67,21,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
