date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason,latest_disclosure_event_id,latest_disclosure_report_date,latest_disclosure_publication_date,days_since_disclosure,stale_disclosure_45d,report_to_publication_lag_days,pilot_rqi_asof,pilot_dii_asof,disclosure_rule_version_asof,disclosure_rule_status_asof,disclosure_asset_confidence_asof,disclosure_manual_review_required_asof,stress_regime_asof,asof_merge_rule,coding_status
2022-01-01,USDC,Circle,usd-coin,2,1.000430619,0.000430619,0.000430619,0,0,0,0,0,37776898856.00,37793166307.12,16,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-02,USDC,Circle,usd-coin,2,1.0049661491,0.0049661491,0.0049661491,0,0,0,0,0,37424988859.00,37610846934.16,16,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-03,USDC,Circle,usd-coin,2,1.0003279954,0.0003279954,0.0003279954,0,0,0,0,0,37565087226.00,37577408401.41,16,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-04,USDC,Circle,usd-coin,2,1.0008293667,0.0008293667,0.0008293667,0,0,0,0,0,37565985268.00,37597141246.44,16,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-05,USDC,Circle,usd-coin,2,0.9998077876,-0.0001922124,0.0001922124,0,0,0,0,0,37524581819.00,37517369128.38,16,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-06,USDC,Circle,usd-coin,2,1.0015449557,0.0015449557,0.0015449557,0,0,0,0,0,37793861866.00,37852251706.75,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-07,USDC,Circle,usd-coin,2,1.0005977338,0.0005977338,0.0005977338,0,0,0,0,0,37996569298.00,38019281131.32,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-08,USDC,Circle,usd-coin,2,1.0022072715,0.0022072715,0.0022072715,0,0,0,0,0,38229047250.00,38313429135.68,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-09,USDC,Circle,usd-coin,2,0.9994029448,-0.0005970552,0.0005970552,0,0,0,0,0,38334950637.00,38312062557.09,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-10,USDC,Circle,usd-coin,2,1.0005933471,0.0005933471,0.0005933471,0,0,0,0,0,38232201267.00,38254886232.04,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-11,USDC,Circle,usd-coin,2,1.0007153854,0.0007153854,0.0007153854,0,0,0,0,0,38434537009.00,38462032514.52,17,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-12,USDC,Circle,usd-coin,2,0.9998590607,-0.0001409393,0.0001409393,0,0,0,0,0,38654990719.00,38649542711.66,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-13,USDC,Circle,usd-coin,2,1.0014087269,0.0014087269,0.0014087269,0,0,0,0,0,39005413769.00,39060361746.04,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-14,USDC,Circle,usd-coin,2,1.000221484,0.000221484,0.000221484,0,0,0,0,0,39285926239.00,39294627441.15,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-15,USDC,Circle,usd-coin,2,1.0008576323,0.0008576323,0.0008576323,0,0,0,0,0,39540266490.00,39574177498.29,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-16,USDC,Circle,usd-coin,2,1.000121237,0.000121237,0.000121237,0,0,0,0,0,39546736355.00,39551530881.71,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
