relative_day,n_events,n_rows,mean_abs_peg_dev_bps,median_abs_peg_dev_bps,mean_peg_dev_bps,tail50_rate,tail100_rate,market_stress_share,manual_review_event_share,has_rqi_share,rule_version,rule_status
-14,24,24,7.0992996250000004,0.90395,4.620123125,0.0,0.0,0.125,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-13,24,24,4.653841541666666,0.86555,-0.3508074583333333,0.0,0.0,0.125,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-12,24,24,4.491689375,1.2778844999999999,-0.07050879166666675,0.0,0.0,0.125,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-11,24,24,5.062724916666666,1.3217615,0.9806396666666667,0.0,0.0,0.125,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-10,24,24,5.945698916666667,0.98,1.6258260833333333,0.0,0.0,0.125,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-9,24,24,7.5462331250000005,2.6522499999999996,1.9066782916666665,0.041666666666666664,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-8,24,24,3.722273833333334,1.0937999999999999,-0.7103738333333335,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-7,24,24,6.279630083333334,2.6083,-1.1928967500000003,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-6,24,24,4.775699,2.539482,1.8291416666666667,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-5,24,24,7.077574583333333,2.859,4.604157666666667,0.041666666666666664,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-4,24,24,7.1584233333333325,3.96465,4.3432605833333335,0.041666666666666664,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-3,24,24,5.2366486666666665,4.496,0.7015975833333336,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-2,24,24,4.352487,1.30575,-1.3347869999999997,0.0,0.0,0.041666666666666664,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
-1,24,24,5.8633482500000005,1.08,-1.3752430833333331,0.041666666666666664,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
0,24,24,8.940671458333332,4.0847500000000005,3.458196125,0.041666666666666664,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
1,24,24,7.674849291666667,1.1835,4.262165291666666,0.041666666666666664,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
2,24,24,7.195987708333333,2.494,3.259581125,0.041666666666666664,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
3,24,24,6.924572291666666,1.05605,2.172222375,0.0,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
4,24,24,4.520312208333333,2.0658000000000003,-0.6686914583333333,0.0,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
5,24,24,4.796093916666667,1.35255,-0.9655526666666666,0.0,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
6,24,24,5.191952958333333,1.4255,0.21250537500000002,0.0,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
7,24,24,5.096753916666667,2.165,-0.9190285,0.0,0.0,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
8,24,24,4.716172375,0.8350000000000001,-1.6768377916666664,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
9,24,24,6.217866166666667,3.9907999999999997,-2.3714350833333335,0.0,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
10,24,24,20.857345916666663,2.39655,-16.823225499999996,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
11,24,24,8.900115333333334,2.1799999999999997,-4.596298666666667,0.041666666666666664,0.0,0.08333333333333333,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
12,23,23,4.641298695652174,0.8502,-1.1258329565217393,0.0,0.0,0.13043478260869565,0.7391304347826086,0.7391304347826086,RQI_DII_v1.0,frozen_confirmed_by_researcher
13,23,23,5.329561434782608,1.61,-4.271004913043479,0.0,0.0,0.13043478260869565,0.7391304347826086,0.7391304347826086,RQI_DII_v1.0,frozen_confirmed_by_researcher
14,23,23,4.716446695652174,1.0,2.1998988695652173,0.0,0.0,0.13043478260869565,0.7391304347826086,0.7391304347826086,RQI_DII_v1.0,frozen_confirmed_by_researcher
