event_unit_id,stablecoin,issuer_scope,event_class,event_date,event_families,record_count,manual_review_required,min_priority,market_stress_on_event_date,overlap_risk_7d_window,overlap_risk_14d_window,episode_override_applied,canonical_event_date_basis,episode_merge_rules,window_days,pre_n,post_n,expected_pre_n,expected_post_n,complete_window,pre_mean_abs_peg_dev_bps,post_mean_abs_peg_dev_bps,delta_post_minus_pre_abs_peg_dev_bps,pre_mean_peer_adjusted_abs_peg_dev_bps,post_mean_peer_adjusted_abs_peg_dev_bps,delta_post_minus_pre_peer_adjusted_abs_bps,pre_mean_peg_dev_bps,post_mean_peg_dev_bps,delta_post_minus_pre_peg_dev_bps,event_day_abs_peg_dev_bps,event_day_peer_adjusted_abs_peg_dev_bps,max_post_abs_peg_dev_bps,max_post_peer_adjusted_abs_peg_dev_bps,pre_tail50_rate,post_tail50_rate,delta_post_minus_pre_tail50_rate,rule_version,rule_status,provisional_flag,provisional_reason
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,ad_hoc_issuer_event; ad_hoc_regulatory_event,2,0,P0,1,0,0,0,publication_date,,3,3,4,3,4,1,1.1098666666666668,1.72555,0.6156833333333331,-1.6247,-2.2773450000000004,-0.6526450000000004,0.6135333333333334,-1.72555,-2.3390833333333334,0.6048,-3.0557399999999997,2.3324000000000003,-0.3850600000000002,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,ad_hoc_issuer_event; ad_hoc_regulatory_event,2,0,P0,1,0,0,0,publication_date,,7,7,8,7,8,1,0.8956571428571429,1.0213750000000001,0.12571785714285721,-1.83278,-2.4762725,-0.6434924999999998,0.16337142857142858,-0.996375,-1.1597464285714285,0.6048,-3.0557399999999997,2.3324000000000003,-0.3850600000000002,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
BUSD_WINDDOWN_2023_02_13,BUSD,non_USDC,ad_hoc,2023-02-13,ad_hoc_issuer_event; ad_hoc_regulatory_event,2,0,P0,1,0,0,0,publication_date,,14,14,15,14,15,1,0.8435785714285714,0.7522533333333336,-0.09132523809523785,-2.0225842857142857,-2.5419199999999997,-0.519335714285714,0.44749285714285714,-0.6552133333333334,-1.1027061904761906,0.6048,-3.0557399999999997,2.3324000000000003,-0.3850600000000002,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_01,USDC,USDC,scheduled,2022-02-25,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,3,3,4,3,4,1,8.122724666666667,18.0311515,9.908426833333333,-2.328486799999999,3.6932659,6.021752699999999,6.268254,18.0311515,11.762897500000001,8.244235,1.1910011999999988,25.797639,8.042547000000003,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_01,USDC,USDC,scheduled,2022-02-25,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,7,7,8,7,8,1,11.303774857142857,11.580327,0.2765521428571436,1.2790306571428576,0.17727225000000035,-1.1017584071428572,8.52137542857143,8.98704725,0.46567182142857,8.244235,1.1910011999999988,25.797639,8.042547000000003,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_01,USDC,USDC,scheduled,2022-02-25,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,14,14,15,14,15,1,8.839965500000002,8.3526412,-0.48732430000000093,0.33226800000000006,-1.1492125866666667,-1.4814805866666667,5.94518992857143,4.932450933333333,-1.012738995238097,8.244235,1.1910011999999988,25.797639,8.042547000000003,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_02,USDC,USDC,scheduled,2022-03-31,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,3,3,4,3,4,1,8.144909333333333,60.64871049999999,52.50380116666666,-3.3938033333333326,51.42213195,54.81593528333333,3.5284566666666675,60.64871049999999,57.12025383333332,78.603676,73.610377,78.603676,73.610377,0.0,0.75,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_02,USDC,USDC,scheduled,2022-03-31,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,7,7,8,7,8,1,7.678718142857143,36.563748749999995,28.885030607142852,-0.4344143142857137,28.624502724999996,29.05891703928571,-1.928200142857142,31.547826249999996,33.476026392857136,78.603676,73.610377,78.603676,73.610377,0.0,0.375,0.375,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_02,USDC,USDC,scheduled,2022-03-31,scheduled_monthly_assurance,1,1,P0,0,0,0,0,publication_date,,14,14,15,14,15,1,5.907576571428571,28.43555753333333,22.52798096190476,-0.20292844285714257,20.115205266666667,20.31813370952381,-1.8284605714285713,9.705771666666662,11.534232238095234,78.603676,73.610377,78.603676,73.610377,0.0,0.2,0.2,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2022_03,USDC,USDC,scheduled,2022-04-29,scheduled_monthly_assurance,1,1,P0,0,0,1,0,publication_date,,3,3,4,3,4,1,16.675603999999996,19.705997500000002,3.030393500000006,12.141876466666664,11.83519035,-0.3066861166666648,-16.675603999999996,-19.705997500000002,-3.030393500000006,14.689703999999999,11.758491799999998,26.172708,16.444776400000002,0.0,0.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
