group,window_days,event_units,complete_window_units,manual_review_required_units,overlap_risk_7d_units,mean_pre_abs_peg_dev_bps,mean_post_abs_peg_dev_bps,mean_delta_abs_peg_dev_bps,median_delta_abs_peg_dev_bps,mean_delta_peer_adjusted_abs_bps,median_delta_peer_adjusted_abs_bps,max_event_day_abs_peg_dev_bps,max_post_abs_peg_dev_bps,mean_delta_tail50_rate,rule_version,rule_status,provisional_flag,provisional_reason
all_ready_event_units,3,28,28,19,0,4.870707309523809,7.644989625,2.774282315476191,0.3035708333333335,5.788925140476191,-0.20228389166666574,78.603676,78.603676,0.014880952380952382,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
all_ready_event_units,7,28,28,19,0,5.4390574591836724,6.167883705357142,0.7288262461734691,-0.1388499999999998,3.261385662244898,-0.02312017857142834,78.603676,78.603676,-0.001913265306122448,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
all_ready_event_units,14,28,27,19,0,5.250994219387756,6.692884290476192,1.4418900710884353,-0.04125971428571398,5.744663827057825,0.8386665904761911,78.603676,389.34999999999997,0.0017006802721088443,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
usdc_units,3,24,24,18,0,5.150827972222222,7.684020187499999,2.5331922152777775,0.3035708333333335,6.647702108333333,0.14230916666666657,78.603676,78.603676,0.017361111111111112,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
usdc_units,7,24,24,18,0,5.820544416666666,6.29264921875,0.4721048020833332,-0.1388499999999998,3.975765311309523,0.07868357142857141,78.603676,78.603676,-0.002232142857142856,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
usdc_units,14,24,23,18,0,5.661826589285714,7.060882505555555,1.399055916269841,0.06278861904761934,5.446664091884922,0.8386665904761911,78.603676,389.34999999999997,0.001984126984126986,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
non_usdc_units,3,4,4,1,0,3.189983333333333,7.41080625,4.220822916666666,-0.37882499999999997,0.6362633333333338,-1.52914,30.0,30.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
non_usdc_units,7,4,4,1,0,3.1501357142857147,5.419290625,2.2691549107142857,-0.1549982142857148,-1.0248922321428573,-1.500674821428572,30.0,30.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
non_usdc_units,14,4,4,1,0,2.7860000000000005,4.484895,1.6988949999999998,-0.6392340476190478,7.532662238095237,0.8410178571428584,30.0,40.0,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
scheduled_units,3,26,26,19,0,5.106661717948719,8.124864788461538,3.01820307051282,0.3035708333333335,6.351853228205129,0.14230916666666657,78.603676,78.603676,0.016025641025641028,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
scheduled_units,7,26,26,19,0,5.695997043956043,6.567060817307692,0.8710637733516483,-0.1388499999999998,3.648119902747252,0.07868357142857141,78.603676,78.603676,-0.0020604395604395596,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
scheduled_units,14,26,25,19,0,5.514405862637362,7.150840261538462,1.6364343989010985,0.06278861904761934,6.2951906635714305,0.9736684000000007,78.603676,389.34999999999997,0.0018315018315018335,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
ad_hoc_units,3,2,2,0,0,1.8033000000000001,1.4066125,-0.3966875000000001,-0.3966875000000001,-1.52914,-1.52914,1.1067,2.3324000000000003,0.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
