issuer_scope,event_class,relative_day,n_event_units,n_rows,mean_abs_peg_dev_bps,median_abs_peg_dev_bps,mean_peer_adjusted_abs_peg_dev_bps,mean_peg_dev_bps,tail50_rate,market_stress_share,manual_review_event_share,rule_version,rule_status
USDC,scheduled,-14,24,24,7.0992996250000004,0.90395,-2.621230325,4.620123125,0.0,0.125,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-13,24,24,4.653841541666666,0.86555,-6.7580735333333335,-0.3508074583333333,0.0,0.125,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-12,24,24,4.491689375,1.2778844999999999,-16.616115566666668,-0.07050879166666675,0.0,0.125,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-11,24,24,5.062724916666666,1.3217615,-12.378868966666667,0.9806396666666667,0.0,0.125,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-10,24,24,5.945698916666667,0.98,-7.187366533333335,1.6258260833333333,0.0,0.125,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-9,24,24,7.5462331250000005,2.6522499999999996,-8.491488766666668,1.9066782916666665,0.041666666666666664,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-8,24,24,3.722273833333334,1.0937999999999999,-8.652406466666667,-0.7103738333333335,0.0,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-7,24,24,6.279630083333334,2.6083,-5.211789741666666,-1.1928967500000003,0.0,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-6,24,24,4.775699,2.539482,-7.430914850000001,1.8291416666666667,0.0,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-5,24,24,7.077574583333333,2.859,-5.460175166666667,4.604157666666667,0.041666666666666664,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-4,24,24,7.1584233333333325,3.96465,-3.7937761249999995,4.3432605833333335,0.041666666666666664,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-3,24,24,5.2366486666666665,4.496,-5.854580741666666,0.7015975833333336,0.0,0.08333333333333333,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-2,24,24,4.352487,1.30575,-8.457910316666668,-1.3347869999999997,0.0,0.041666666666666664,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,-1,24,24,5.8633482500000005,1.08,-8.905357566666666,-1.3752430833333331,0.041666666666666664,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,0,24,24,8.940671458333332,4.0847500000000005,-0.7948762500000001,3.458196125,0.041666666666666664,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,1,24,24,7.674849291666667,1.1835,-0.5664082750000002,4.262165291666666,0.041666666666666664,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,2,24,24,7.195987708333333,2.494,-1.510693941666667,3.259581125,0.041666666666666664,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,3,24,24,6.924572291666666,1.05605,-1.4943445999999998,2.172222375,0.0,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
USDC,scheduled,4,24,24,4.520312208333333,2.0658000000000003,-3.433760849999999,-0.6686914583333333,0.0,0.0,0.75,RQI_DII_v1.0,frozen_confirmed_by_researcher
