event_unit_id,stablecoin,issuer,event_date,record_count,event_ids,event_families,document_families,event_types,source_statuses,source_urls,scheduled_flag,ad_hoc_flag,event_class,issuer_scope,stress_regime,manual_review_required,min_priority,source_record_count,has_rqi,has_dii,event_day_price_usd,event_day_abs_peg_dev_bps,event_day_peer_adjusted_abs_peg_dev_bps,market_stress_on_event_date,market_stress_types_on_event_date,episode_override_applied,canonical_event_date_basis,episode_merge_rules,episode_body_inclusion_status,episode_override_rationale,rule_version,rule_status,provisional_flag,provisional_reason,previous_event_gap_days,next_event_gap_days,overlap_risk_7d_window,overlap_risk_14d_window
BUSD_WINDDOWN_2023_02_13,BUSD,Paxos; Paxos/Binance,2023-02-13,2,BUSD_PAXOS_WINDDOWN_ANNOUNCEMENT_2023_02_13; BUSD_REGULATORY_ORDER_NYDFS_2023_02_13,ad_hoc_issuer_event; ad_hoc_regulatory_event,issuer_news_release; regulatory_notice,halt_new_bUSD_issuance; cease_minting_order_or_related_regulatory_action,source_verified_for_descriptive_use,https://www.paxos.com/newsroom/paxos-will-halt-minting-new-busd-tokens; https://www.dfs.ny.gov/consumers/alerts/Paxos_and_Binance,0,1,ad_hoc,non_USDC,regulatory_issuer_stress,0,P0,2,0,0,0.99993952,0.6048,-3.0557399999999997,1,regulatory_issuer_stress,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,,,0,0
USDC_ASSURANCE_2022_01,USDC,Circle,2022-02-25,1,USDC_ASSURANCE_2022_01,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,0,1,1.0008244235,8.244235,1.1910011999999988,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,,34,0,0
USDC_ASSURANCE_2022_02,USDC,Circle,2022-03-31,1,USDC_ASSURANCE_2022_02,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,0,1,1.0078603676,78.603676,73.610377,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,34,29,0,0
USDC_ASSURANCE_2022_03,USDC,Circle,2022-04-29,1,USDC_ASSURANCE_2022_03,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,0,1,0.9985310296,14.689703999999999,11.758491799999998,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,29,24,0,1
USDC_ASSURANCE_2022_04,USDC,Circle,2022-05-23,1,USDC_ASSURANCE_2022_04,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,0,1,1.00043695,4.3695,-1.2290600000000005,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,24,66,0,1
USDC_ASSURANCE_2022_06,USDC,Circle,2022-07-28,1,USDC_ASSURANCE_2022_06,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,1,P0,1,0,1,1.00001973,0.1973,-2.0978200000000005,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,66,27,0,1
USDC_ASSURANCE_2022_07,USDC,Circle,2022-08-24,1,USDC_ASSURANCE_2022_07,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.0,0.0,-1.716,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,27,30,0,1
USDC_ASSURANCE_2022_08,USDC,Circle,2022-09-23,1,USDC_ASSURANCE_2022_08,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.00007509,0.7509,0.026879999999999904,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,30,32,0,0
USDC_ASSURANCE_2022_09,USDC,Circle,2022-10-25,1,USDC_ASSURANCE_2022_09,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.00000753,0.0753,-5.26354,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,32,28,0,1
USDC_ASSURANCE_2022_10,USDC,Circle,2022-11-22,1,USDC_ASSURANCE_2022_10,scheduled_monthly_assurance,monthly_assurance,scheduled_assurance_publication,downloaded_extracted,see_historical_report_register_v1,1,0,scheduled,USDC,normal,0,P0,1,1,1,1.00026976,2.6976,-5.8125800000000005,0,normal,0,publication_date,,,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending,28,30,0,1
