model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,start_date,end_date,y_mean,y_sd,r2,adj_r2,status
absdev_rqi_dii__primary_path_b__all_rows_with_variant,absdev_rqi_dii,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.0932846836579051,0.08552550613419518,estimated
tail50_rqi_dii_lpm__primary_path_b__all_rows_with_variant,tail50_rqi_dii_lpm,all_rows_with_variant,primary_path_b,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.025454696365405316,0.017115066627700903,estimated
absdev_stress_interaction__primary_path_b__all_rows_with_variant,absdev_stress_interaction,all_rows_with_variant,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.1940863480264604,0.18519759451204632,estimated
absdev_rqi_dii__primary_path_b__rqi_available,absdev_rqi_dii,rqi_available,primary_path_b,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.0932846836579051,0.08552550613419518,estimated
tail50_rqi_dii_lpm__primary_path_b__rqi_available,tail50_rqi_dii_lpm,rqi_available,primary_path_b,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.025454696365405316,0.017115066627700903,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.1940863480264604,0.18519759451204632,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19298614571954187,0.17105642141844246,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.0,0.0,,,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.1929861457195422,0.16194715132413995,estimated
absdev_rqi_dii__primary_path_b__non_stress_rows,absdev_rqi_dii,non_stress_rows,primary_path_b,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.08156803723086414,0.0746189933763689,estimated
tail50_rqi_dii_lpm__primary_path_b__non_stress_rows,tail50_rqi_dii_lpm,non_stress_rows,primary_path_b,tail_depeg_50bp_pct,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.75,8.633114347045419,0.012332159179760938,0.004859262527905361,estimated
absdev_stress_interaction__primary_path_b__non_stress_rows,absdev_stress_interaction,non_stress_rows,primary_path_b,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.08156803723086414,0.0746189933763689,estimated
absdev_rqi_dii__primary_path_b__stress_rows_diagnostic,absdev_rqi_dii,stress_rows_diagnostic,primary_path_b,abs_peg_dev_bps,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.20156478536207278,0.049481887335800834,estimated
tail50_rqi_dii_lpm__primary_path_b__stress_rows_diagnostic,tail50_rqi_dii_lpm,stress_rows_diagnostic,primary_path_b,tail_depeg_50bp_pct,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,7.6923076923076925,27.1746488194703,0.2333497037919593,0.08732107594280858,estimated
absdev_stress_interaction__primary_path_b__stress_rows_diagnostic,absdev_stress_interaction,stress_rows_diagnostic,primary_path_b,abs_peg_dev_bps,26,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.2015647853620749,0.00195598170259359,estimated
absdev_rqi_dii__primary_path_b__exclude_100bp_tail_days,absdev_rqi_dii,exclude_100bp_tail_days,primary_path_b,abs_peg_dev_bps,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.10935576828422588,0.10172478955471498,estimated
