event_id,event_date,window_days,window_role,pre_n,post_n,pre_mean_abs_peg_dev_bps,post_mean_abs_peg_dev_bps,delta_post_minus_pre_abs_peg_dev_bps,event_day_abs_peg_dev_bps,max_post_abs_peg_dev_bps,pre_tail50_rate,post_tail50_rate,delta_post_minus_pre_tail50_rate,event_has_rqi,event_has_dii,event_manual_review_required,event_stress_regime_disclosure,overlap_risk_7d_window,overlap_risk_14d_window,classification_status,rule_version,rule_status,provisional_flag,provisional_reason
USDC_ASSURANCE_2022_01,2022-02-25,3,primary,3,4,8.122724666666667,18.0311515,9.908426833333333,8.244235,25.797639,0.0,0.0,0.0,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_01,2022-02-25,7,primary,7,8,11.303774857142857,11.580327,0.2765521428571436,8.244235,25.797639,0.0,0.0,0.0,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_01,2022-02-25,14,robustness,14,15,8.839965500000002,8.3526412,-0.48732430000000093,8.244235,25.797639,0.0,0.0,0.0,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_02,2022-03-31,3,primary,3,4,8.144909333333333,60.6487105,52.50380116666667,78.603676,78.603676,0.0,0.75,0.75,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_02,2022-03-31,7,primary,7,8,7.678718142857143,36.56374875,28.88503060714286,78.603676,78.603676,0.0,0.375,0.375,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_02,2022-03-31,14,robustness,14,15,5.907576571428571,28.435557533333334,22.527980961904763,78.603676,78.603676,0.0,0.2,0.2,0,1,1,normal,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_03,2022-04-29,3,primary,3,4,16.675604,19.705997500000002,3.0303935000000024,14.689704,26.172708,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_03,2022-04-29,7,primary,7,8,11.492801571428572,14.846155500000002,3.3533539285714298,14.689704,26.172708,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_03,2022-04-29,14,robustness,14,15,9.71198092857143,12.784854733333333,3.072873804761903,14.689704,29.605097,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_04,2022-05-23,3,primary,3,4,3.6541,2.171025,-1.483075,4.3695,4.3695,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_04,2022-05-23,7,primary,7,8,3.2772857142857146,2.23145,-1.0458357142857144,4.3695,4.3695,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_04,2022-05-23,14,robustness,14,15,2.9201794285714286,2.8875000000000006,-0.032679428571428026,4.3695,6.816800000000001,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_06,2022-07-28,3,primary,3,4,1.5438333333333334,0.185525,-1.3583083333333335,0.1973,0.481,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_06,2022-07-28,7,primary,7,8,1.6205714285714288,1.1272625,-0.4933089285714287,0.1973,6.1002,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_06,2022-07-28,14,robustness,14,15,1.273292857142857,0.8101066666666665,-0.4631861904761905,0.1973,6.1002,0.0,0.0,0.0,0,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
USDC_ASSURANCE_2022_07,2022-08-24,3,primary,3,4,0.5174333333333333,0.46855,-0.04888333333333328,0.0,1.2970000000000002,0.0,0.0,0.0,1,1,0,normal,0,1,rules_frozen_high_confidence,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion
