date,stablecoin,issuer,price_usd,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,circulating_face_usd,supply_median_by_coin,abnormal_price_50bp_flag,abnormal_price_100bp_flag,low_supply_lifecycle_flag,manual_market_review_flag,market_stress_flag,market_stress_types,rule_version,rule_status
2023-03-13,USDT,Tether,1.01,0.01,1.0,1.0,72558009184.0,83114449131.5,1,1,0,1,1,banking_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-21,USDT,Tether,1.011,0.011,1.0,1.0,76849624852.0,83114449131.5,1,1,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2022-02-05,USDC,Circle,1.0109247319,0.0109247319,1.0,1.0,45102574316.0,34667528982.5,1,1,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-12,USDC,Circle,0.961065,0.038935,1.0,1.0,40701238382.0,34667528982.5,1,1,0,1,1,banking_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2022-03-13,USDP,Paxos,1.0159259954,0.0159259954,1.0,1.0,984685070.0,739080363.0,1,1,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-12,USDP,Paxos,0.98729,0.01271,1.0,1.0,826745086.0,739080363.0,1,1,0,1,1,banking_stress;regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-08-04,USDP,Paxos,1.01,0.01,1.0,1.0,509126615.0,739080363.0,1,1,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2024-04-13,USDP,Paxos,1.013,0.013,1.0,1.0,139745787.0,739080363.0,1,1,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2022-01-02,BUSD,Paxos/Binance,1.0053673169,0.0053673169,1.0,0.0,14434991723.0,4123633325.0,1,0,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2022-02-05,BUSD,Paxos/Binance,1.009557167,0.009557167,1.0,0.0,16522327509.0,4123633325.0,1,0,0,1,0,normal,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-12,BUSD,Paxos/Binance,0.99328,0.00672,1.0,0.0,8372365326.0,4123633325.0,1,0,0,1,1,banking_stress;regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-13,BUSD,Paxos/Binance,1.009,0.009,1.0,0.0,8352113176.0,4123633325.0,1,0,0,1,1,banking_stress;regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-19,BUSD,Paxos/Binance,1.006,0.006,1.0,0.0,8201784688.0,4123633325.0,1,0,0,1,1,banking_stress;regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-20,BUSD,Paxos/Binance,1.006,0.006,1.0,0.0,8201596843.0,4123633325.0,1,0,0,1,1,banking_stress;regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-21,BUSD,Paxos/Binance,1.011,0.011,1.0,1.0,8126306461.0,4123633325.0,1,1,0,1,1,regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-23,BUSD,Paxos/Binance,1.006,0.006,1.0,0.0,8042301701.0,4123633325.0,1,0,0,1,1,regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-25,BUSD,Paxos/Binance,1.007,0.007,1.0,0.0,8002945081.0,4123633325.0,1,0,0,1,1,regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
2023-03-26,BUSD,Paxos/Binance,1.007,0.007,1.0,0.0,8002983494.0,4123633325.0,1,0,0,1,1,regulatory_issuer_stress,RQI_DII_v1.0,frozen_confirmed_by_researcher
