timeline_id,timeline_type,stablecoin,date_start,date_end,label,event_family,source_url,plot_priority,rule_version
USDC_ASSURANCE_2022_01,disclosure_or_ad_hoc_event,USDC,2022-02-25,2022-02-25,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_02,disclosure_or_ad_hoc_event,USDC,2022-03-31,2022-03-31,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_03,disclosure_or_ad_hoc_event,USDC,2022-04-29,2022-04-29,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
CRYPTO_TERRA_2022,stress_window,ALL,2022-05-07,2022-05-20,TerraUSD UST depeg and collapse,crypto_native_stress,https://www.coindesk.com/business/2022/05/08/ust-briefly-loses-peg-luna-drops-10,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_04,disclosure_or_ad_hoc_event,USDC,2022-05-23,2022-05-23,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_06,disclosure_or_ad_hoc_event,USDC,2022-07-28,2022-07-28,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDT_ASSURANCE_PROVIDER_CHANGE_2022_08_18,disclosure_or_ad_hoc_event,USDT,2022-08-18,2022-08-18,ad_hoc_disclosure_process_change,ad_hoc_disclosure_process_change,https://tether.io/news/tether-announces-alignment-with-top-five-accounting-firm-and-confirms-attestations-will-now-be-completed-by-bdo-italia/,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_07,disclosure_or_ad_hoc_event,USDC,2022-08-24,2022-08-24,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_08,disclosure_or_ad_hoc_event,USDC,2022-09-23,2022-09-23,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_09,disclosure_or_ad_hoc_event,USDC,2022-10-25,2022-10-25,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
CRYPTO_FTX_2022,stress_window,ALL,2022-11-06,2022-11-20,FTX liquidity crisis and bankruptcy,crypto_native_stress,https://www.cnbc.com/2022/11/11/sam-bankman-frieds-cryptocurrency-exchange-ftx-files-for-bankruptcy.html,P0,RQI_DII_v1.0
USDC_ASSURANCE_2022_10,disclosure_or_ad_hoc_event,USDC,2022-11-22,2022-11-22,scheduled_monthly_assurance,scheduled_monthly_assurance,see_historical_report_register_v1,P0,RQI_DII_v1.0
